region	chr	midPos	Nsites
region	chr	midPos	Nsites
(9879,58732)(10000,59999)(10000,60000)	NC_037122.1f5t9	35000	48855	0.037964
(19259,67531)(20323,69999)(20000,70000)	NC_037122.1f5t9	45000	48274	0.044447
(28795,75507)(30000,78619)(30000,80000)	NC_037122.1f5t9	55000	46714	0.055110
(38759,79973)(40000,89999)(40000,90000)	NC_037122.1f5t9	65000	41216	0.056080
(48751,89927)(50000,99999)(50000,100000)	NC_037122.1f5t9	75000	41178	0.054650
(58733,97215)(60000,109149)(60000,110000)	NC_037122.1f5t9	85000	38484	0.048640
(67532,106902)(70000,119999)(70000,120000)	NC_037122.1f5t9	95000	39372	0.041479
(75508,116890)(81719,129999)(80000,130000)	NC_037122.1f5t9	105000	41384	0.043275
(79974,126855)(90000,139999)(90000,140000)	NC_037122.1f5t9	115000	46883	0.076754
(89928,136845)(100000,149999)(100000,150000)	NC_037122.1f5t9	125000	46919	0.079305
(97216,146757)(110280,159999)(110000,160000)	NC_037122.1f5t9	135000	49543	0.078740
(106903,155095)(120000,169999)(120000,170000)	NC_037122.1f5t9	145000	48194	0.067149
(116891,163910)(130000,179999)(130000,180000)	NC_037122.1f5t9	155000	47021	0.080126
(126856,173866)(140000,189999)(140000,190000)	NC_037122.1f5t9	165000	47012	0.067326
(136846,183831)(150000,199999)(150000,200000)	NC_037122.1f5t9	175000	46987	0.066555
(146758,193755)(160000,209999)(160000,210000)	NC_037122.1f5t9	185000	46999	0.067711
(155096,203745)(170000,219999)(170000,220000)	NC_037122.1f5t9	195000	48651	0.076322
(163911,213717)(180000,229999)(180000,230000)	NC_037122.1f5t9	205000	49808	0.066762
(173867,223589)(190000,239999)(190000,240000)	NC_037122.1f5t9	215000	49724	0.069514
(183832,231763)(200000,249999)(200000,250000)	NC_037122.1f5t9	225000	47933	0.070694
(193756,239775)(210000,259999)(210000,260000)	NC_037122.1f5t9	235000	46021	0.070291
(203746,249340)(220000,269999)(220000,270000)	NC_037122.1f5t9	245000	45596	0.069282
(213718,257322)(230000,279999)(230000,280000)	NC_037122.1f5t9	255000	43606	0.071512
(223590,267294)(240000,289999)(240000,290000)	NC_037122.1f5t9	265000	43706	0.066931
(231764,268803)(250000,291509)(250000,300000)	NC_037122.1f5t9	275000	37041	0.065395
(239776,276873)(260000,309999)(260000,310000)	NC_037122.1f5t9	285000	37099	0.056352
(249341,285906)(270000,319999)(270000,320000)	NC_037122.1f5t9	295000	36567	0.054380
(257323,295808)(280000,329999)(280000,330000)	NC_037122.1f5t9	305000	38487	0.049272
(267295,305700)(290000,339999)(290000,340000)	NC_037122.1f5t9	315000	38407	0.045495
(268804,315536)(301875,349999)(300000,350000)	NC_037122.1f5t9	325000	46734	0.045246
(276874,325445)(310000,359999)(310000,360000)	NC_037122.1f5t9	335000	48573	0.045181
(285907,335442)(320000,369999)(320000,370000)	NC_037122.1f5t9	345000	49537	0.047594
(295809,342319)(330000,376877)(330000,380000)	NC_037122.1f5t9	355000	46512	0.051419
(305701,342319)(340000,376877)(340000,390000)	NC_037122.1f5t9	365000	36620	0.050784
(315537,346782)(350000,399222)(350000,400000)	NC_037122.1f5t9	375000	31247	0.054048
(325446,354601)(360000,409999)(360000,410000)	NC_037122.1f5t9	385000	29157	0.058963
(335443,364585)(370000,419999)(370000,420000)	NC_037122.1f5t9	395000	29144	0.049516
(342320,374572)(394726,429999)(380000,430000)	NC_037122.1f5t9	405000	32254	0.042851
(342320,384572)(394726,439999)(390000,440000)	NC_037122.1f5t9	415000	42254	0.047887
(346783,394572)(402080,449999)(400000,450000)	NC_037122.1f5t9	425000	47791	0.045476
(354602,404560)(410000,459999)(410000,460000)	NC_037122.1f5t9	435000	49960	0.043647
(364586,414557)(420000,469999)(420000,470000)	NC_037122.1f5t9	445000	49973	0.049842
(374573,424554)(430000,479999)(430000,480000)	NC_037122.1f5t9	455000	49983	0.054992
(384573,434494)(440000,489999)(440000,490000)	NC_037122.1f5t9	465000	49923	0.040515
(394573,442067)(450000,499999)(450000,500000)	NC_037122.1f5t9	475000	47496	0.045333
(404561,451291)(460000,509850)(460000,510000)	NC_037122.1f5t9	485000	46732	0.041184
(414558,455608)(470000,519125)(470000,520000)	NC_037122.1f5t9	495000	41052	0.038192
(424555,462411)(480000,529999)(480000,530000)	NC_037122.1f5t9	505000	37858	0.036278
(434495,472127)(490000,539999)(490000,540000)	NC_037122.1f5t9	515000	37634	0.059664
(442068,482106)(500000,549993)(500000,550000)	NC_037122.1f5t9	525000	40040	0.067290
(451292,492074)(510306,559999)(510000,560000)	NC_037122.1f5t9	535000	40784	0.078193
(455609,501758)(521473,569999)(520000,570000)	NC_037122.1f5t9	545000	46151	0.079199
(462412,511721)(530000,579999)(530000,580000)	NC_037122.1f5t9	555000	49311	0.077688
(472128,521716)(540000,589999)(540000,590000)	NC_037122.1f5t9	565000	49590	0.067138
(482107,531674)(550022,599999)(550000,600000)	NC_037122.1f5t9	575000	49569	0.046901
(492075,541593)(560000,609999)(560000,610000)	NC_037122.1f5t9	585000	49520	0.045415
(501759,550999)(570000,619999)(570000,620000)	NC_037122.1f5t9	595000	49242	0.038597
(511722,560961)(580000,629999)(580000,630000)	NC_037122.1f5t9	605000	49241	0.034606
(521717,570937)(590000,639999)(590000,640000)	NC_037122.1f5t9	615000	49222	0.033698
(531675,580899)(600000,649999)(600000,650000)	NC_037122.1f5t9	625000	49226	0.032775
(541594,590855)(610000,659999)(610000,660000)	NC_037122.1f5t9	635000	49263	0.023675
(551000,598002)(620000,669999)(620000,670000)	NC_037122.1f5t9	645000	47004	0.019522
(560962,607965)(630000,679999)(630000,680000)	NC_037122.1f5t9	655000	47005	0.017045
(570938,617960)(640000,689999)(640000,690000)	NC_037122.1f5t9	665000	47024	0.023089
(580900,627926)(650000,699999)(650000,700000)	NC_037122.1f5t9	675000	47028	0.021346
(590856,637915)(660000,709999)(660000,710000)	NC_037122.1f5t9	685000	47061	0.034064
(598003,647885)(670000,719999)(670000,720000)	NC_037122.1f5t9	695000	49884	0.030935
(607966,657835)(680000,729999)(680000,730000)	NC_037122.1f5t9	705000	49871	0.035768
(617961,667770)(690000,739999)(690000,740000)	NC_037122.1f5t9	715000	49811	0.032979
(627927,677744)(700000,749999)(700000,750000)	NC_037122.1f5t9	725000	49819	0.038853
(637916,687676)(710000,759999)(710000,760000)	NC_037122.1f5t9	735000	49762	0.041617
(647886,697631)(720000,769999)(720000,770000)	NC_037122.1f5t9	745000	49747	0.046929
(657836,707519)(730000,779999)(730000,780000)	NC_037122.1f5t9	755000	49685	0.038988
(667771,717514)(740000,789999)(740000,790000)	NC_037122.1f5t9	765000	49745	0.032025
(677745,727497)(750000,799999)(750000,800000)	NC_037122.1f5t9	775000	49754	0.031935
(687677,737486)(760000,809999)(760000,810000)	NC_037122.1f5t9	785000	49811	0.029281
(697632,744639)(770000,819999)(770000,820000)	NC_037122.1f5t9	795000	47009	0.029440
(707520,754618)(780000,829999)(780000,830000)	NC_037122.1f5t9	805000	47100	0.027774
(717515,764559)(790000,839999)(790000,840000)	NC_037122.1f5t9	815000	47046	0.028821
(727498,774556)(800000,849999)(800000,850000)	NC_037122.1f5t9	825000	47060	0.032692
(737487,784550)(810000,859999)(810000,860000)	NC_037122.1f5t9	835000	47065	0.034309
(744640,794528)(820000,869999)(820000,870000)	NC_037122.1f5t9	845000	49890	0.034829
(754619,804527)(830000,879999)(830000,880000)	NC_037122.1f5t9	855000	49910	0.041204
(764560,814446)(840000,889999)(840000,890000)	NC_037122.1f5t9	865000	49888	0.047752
(774557,824444)(850000,899999)(850000,900000)	NC_037122.1f5t9	875000	49889	0.049044
(784551,834417)(860000,909999)(860000,910000)	NC_037122.1f5t9	885000	49868	0.047661
(794529,844102)(870000,919999)(870000,920000)	NC_037122.1f5t9	895000	49575	0.049309
(804528,854099)(880000,929999)(880000,930000)	NC_037122.1f5t9	905000	49573	0.043512
(814447,864060)(890000,939999)(890000,940000)	NC_037122.1f5t9	915000	49615	0.039351
(824445,874014)(900000,949999)(900000,950000)	NC_037122.1f5t9	925000	49571	0.026055
(834418,883975)(910000,959999)(910000,960000)	NC_037122.1f5t9	935000	49559	0.028374
(844103,893955)(920000,969999)(920000,970000)	NC_037122.1f5t9	945000	49854	0.033167
(854100,903949)(930000,979999)(930000,980000)	NC_037122.1f5t9	955000	49851	0.044719
(864061,913795)(940000,989999)(940000,990000)	NC_037122.1f5t9	965000	49736	0.051536
(874015,923786)(950000,999999)(950000,1000000)	NC_037122.1f5t9	975000	49773	0.062557
